,Population,Region,Region2,Region3,DenID,unpublished.vs.published,unpublished.vs.published2,Estimation_Method,Study,Date_median,Date_lowerrange,Date_upperrange,Lat,Long,Lat_lowerrange,Lat_upperrange,DOY,DOY_lowerrange,DOY_upperrange,Originaldataset
126,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-25,unpublished,21,GPS,,4/16/04,,,52.9705483,-117.69928,,,167,,,yes
127,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-26,unpublished,21,GPS,,4/27/03,,,52.9705483,-117.69928,,,178,,,yes
128,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-26,unpublished,21,GPS,,4/23/07,,,52.9705483,-117.69928,,,174,,,yes
129,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-26,unpublished,21,GPS,,4/24/09,,,52.9705483,-117.69928,,,176,,,yes
130,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-26,unpublished,21,GPS,,4/26/10,,,52.9705483,-117.69928,,,177,,,yes
131,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-27,unpublished,21,GPS,,4/23/00,,,52.9705483,-117.69928,,,174,,,yes
132,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-28,unpublished,21,GPS,,4/30/07,,,52.9705483,-117.69928,,,181,,,yes
133,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-28,unpublished,21,GPS,,4/15/09,,,52.9705483,-117.69928,,,167,,,yes
134,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-28,unpublished,21,GPS,,4/5/10,,,52.9705483,-117.69928,,,156,,,yes
135,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-29,unpublished,21,GPS,,4/19/06,,,52.9705483,-117.69928,,,170,,,yes
136,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-29,unpublished,21,GPS,,4/22/07,,,52.9705483,-117.69928,,,173,,,yes
137,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-29,unpublished,21,GPS,,4/26/09,,,52.9705483,-117.69928,,,178,,,yes
138,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-29,unpublished,21,GPS,,4/28/10,,,52.9705483,-117.69928,,,179,,,yes
139,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-30,unpublished,21,GPS,,4/18/04,,,52.9705483,-117.69928,,,169,,,yes
140,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-31,unpublished,21,GPS,,4/24/07,,,55.8598838,-112.96679,,,175,,,yes
141,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-32,unpublished,21,GPS,,4/3/07,,,55.8598838,-112.96679,,,154,,,yes
142,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-33,unpublished,21,GPS,,5/14/06,,,55.8598838,-112.96679,,,195,,,yes
143,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-33,unpublished,21,GPS,,5/10/07,,,55.8598838,-112.96679,,,191,,,yes
144,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-34,unpublished,21,GPS,,5/2/06,,,55.8598838,-112.96679,,,183,,,yes
145,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-35,unpublished,21,GPS,,4/22/07,,,55.8598838,-112.96679,,,173,,,yes
146,Alaska-Canada,NorthAmerica,NorthAmerica,NorthAmerica,Mahoney-36,unpublished,21,GPS,,4/24/06,,,55.8598838,-112.96679,,,175,,,yes
